Region,WAvgERP,WAvgDefaultSpread,TaxRate,WAvgCRP
Africa,0.1558,0.0683,0.2727,0.0964
Asia,0.0787,0.0137,0.2452,0.0193
Australia & New Zealand,0.0594,0.0000,0.2972,0.0000
Caribbean,0.1713,0.0793,0.2563,0.1119
Central and South America,0.1251,0.0465,0.3146,0.0657
Eastern Europe & Russia,0.1373,0.0552,0.1835,0.0779
Middle East,0.0845,0.0178,0.1518,0.0251
North America,0.0594,0.0000,0.2500,0.0000
Western Europe,0.0745,0.0107,0.2483,0.0151
Global,0.0798,0.0145,0.2467,0.0204
